gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,scenario,order111111,order1122,order123,order222
M,2,資工,3,1,1,3,0,0,0,1,2,commuting,ncsewy,nceswy,ncsewy,cneswy
M,2,資工系,4,4,1,1,0,0,0,1,2,working,csnwey,csnwey,cnsewy,csnwey
M,3,社畜,4,1,0,2,0,0,1,1,2,wakingup,nwecsy,nwcesy,newcsy,nwcesy
M,2,資財系,4,3,2,0,0,0,0,1,2,wakingup,csenwy,csenwy,cesnwy,csenwy
F,2,數學系,4,4,4,0,1,1,2,1,2,wakingup,cswnye,csnwey,csweny,csnwey
F,4,護理科,2,1,2,0,0,0,0,1,2,resting,csnwey,csnwey,cnsewy,csnwey
F,2,醫學系,3,2,2,0,0,0,0,3,2,resting,csnwey,csnwey,cnsewy,csnwey
F,3,資工系,2,0,1,2,0,0,0,1,2,resting,scwyne,scwyen,scweny,cswyen
M,2,電機系,4,3,1,2,1,0,0,2,1,wakingup,scwnye,scnwey,scweny,csnwey
M,2,資工系,3,?,?,?,?,?,?,1,3,working,csnwye,csnwey,cnsewy,csnwey
M,4,經濟,4,2,3,2,1,0,0,1,2,wakingup,nwcsye,nwcsey,ncwesy,nwcsey
M,3,清大工工,4,3,2,3,1,1,1,1,2,wakingup,scewny,scewny,scenwy,csewny
M,2,經濟,3,2,1,1,0,0,0,1,3,working,wncsey,wncsey,wcnesy,nwcsey
F,4,中文,2,2,1,0,0,0,0,1,2,resting,scnwye,scnwey,scnewy,csnwey
F,2,資工系,4,2,1,3,0,0,0,1,2,wakingup,cwnyse,cwnyes,cnwesy,cwnyes
M,2,人社系,4,2,2,2,0,0,0,1,2,resting,csewny,csewny,cesnwy,csewny
F,4,中文,3,2,2,1,2,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
F,2,資工系,4,4,4,4,0,0,0,1,2,working,csnwye,csnwey,cnsewy,csnwey
F,2,資工,3,?,?,?,?,?,?,1,2,working,csenwy,csenwy,cesnwy,csenwy
M,3,交大應化系,3,2,2,2,0,0,0,1,2,resting,ecsnyw,ecnswy,ecsnwy,censwy
F,4,工業管理科,2,0,0,0,0,0,0,1,2,wakingup,cewnsy,cenwsy,cewnsy,cenwsy
M,2,資工系,4,4,1,4,0,0,0,1,2,commuting,csenyw,csenwy,cesnwy,csenwy
M,4,机械系,1,0,1,0,0,0,1,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,2,資訊工程系,3,2,2,1,0,0,0,1,2,working,cswney,csnwey,csweny,csnwey
M,2,資工系,4,3,3,1,1,0,0,1,2,commuting,csewny,csewny,cesnwy,csewny
M,2,資工系,4,4,3,4,2,0,0,1,2,resting,scnwye,scnwey,scnewy,csnwey
F,4,會計系,2,1,1,1,0,0,0,1,2,wakingup,cswney,csnwey,csweny,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,commuting,ncswey,ncswey,ncsewy,cnswey
F,4,中文系,2,0,2,0,0,0,0,1,2,working,ncwsye,ncswey,ncwesy,cnswey
M,3,生醫所,4,1,2,0,0,0,0,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
M,3,資工,4,4,4,0,0,0,0,1,2,commuting,scnewy,scenwy,scnewy,csenwy
M,4,工業工程,0,0,0,0,0,0,0,1,2,commuting,nwcsye,nwcsey,ncwesy,nwcsey
F,2,經濟系,2,1,1,1,0,0,0,1,2,commuting,ncsewy,nceswy,ncsewy,cneswy
F,4,企業管理,1,0,0,1,0,0,0,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,2,資工系,2,?,?,?,?,?,?,1,3,wakingup,cnswey,cnswey,cnsewy,cnswey
M,4,無,2,1,2,0,1,0,1,1,3,resting,scwney,scnwey,scweny,csnwey
M,2,電機系,4,2,1,4,0,0,0,1,2,working,csweny,csewny,csweny,csewny
F,2,資工,2,1,1,1,0,0,0,1,2,working,csenwy,csenwy,cesnwy,csenwy
F,2,教科系,3,2,0,0,0,0,1,2,1,working,ncswye,ncswey,ncsewy,cnswey
M,2,人社學士班,3,2,1,1,0,0,0,1,2,working,cnswye,cnswey,cnsewy,cnswey
F,3,經濟,4,2,1,2,1,1,1,1,2,resting,csenwy,csenwy,cesnwy,csenwy
M,1,物理系,3,1,2,2,0,0,0,1,2,resting,nywesc,nyewcs,nwyces,nyewcs
M,2,計財,2,0,0,2,0,0,0,1,3,working,scewyn,scewny,scenwy,csewny
M,2,電機系,3,1,1,2,0,0,0,1,2,commuting,csewny,csewny,cesnwy,csewny
F,2,電工系,3,3,2,0,0,0,0,1,2,working,cnsywe,cnsyew,cnsewy,cnsyew
F,2,資工系,3,3,2,1,0,0,0,1,2,wakingup,csenwy,csenwy,cesnwy,csenwy
M,2,計財系,3,2,1,2,0,0,0,1,2,commuting,scnywe,scnyew,scnewy,csnyew
F,2,工工系,3,2,2,1,0,0,0,2,1,working,csenwy,csenwy,cesnwy,csenwy
F,2,教科系,3,1,0,3,0,0,0,1,2,wakingup,cnseyw,cneswy,cnsewy,cneswy
M,2,資財系,4,3,2,0,0,0,0,1,2,resting,csenwy,csenwy,cesnwy,csenwy
F,2,資工系,3,2,2,0,0,0,0,1,2,wakingup,csnwey,csnwey,cnsewy,csnwey
M,2,電資,3,1,1,2,1,0,0,1,2,wakingup,cewsyn,ceswny,cewnsy,ceswny
M,2,奈米學士班,0,0,2,3,4,2,1,3,2,commuting,cwseny,cwesny,csweny,cwesny
M,2,資工系,4,?,?,?,?,?,?,1,2,resting,csnwey,csnwey,cnsewy,csnwey
M,3,資工所,1,1,0,0,0,0,0,1,2,working,ncwsye,ncswey,ncwesy,cnswey
F,2,資工,2,1,1,1,0,0,0,1,2,wakingup,csewny,csewny,cesnwy,csewny
F,2,英教系,4,4,4,4,0,0,0,1,2,commuting,cseynw,cseynw,cesnwy,cseynw
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,wakingup,swecyn,swceny,sewcny,swceny
M,4,食品研究所,4,2,2,2,0,0,0,1,2,resting,csnywe,csnyew,cnsewy,csnyew
F,2,資工系,4,3,1,1,0,0,0,1,2,wakingup,cwnsey,cwnsey,cnwesy,cwnsey
F,2,應用化學系,4,3,3,2,0,0,0,1,2,commuting,wcnsey,wcnsey,wcnesy,cwnsey
M,2,資工系,4,4,1,4,0,0,0,1,2,working,csenyw,csenwy,cesnwy,csenwy
M,2,資工系,3,1,0,1,0,0,0,1,2,working,csweny,csewny,csweny,csewny
F,2,人社,3,2,1,1,0,0,0,1,2,working,nwscey,nwcsey,nswcey,nwcsey
F,2,資工,3,?,?,?,?,?,?,1,2,resting,escwny,escwny,ecsnwy,escwny
F,4,EE,4,1,4,2,1,0,1,1,3,wakingup,ncswye,ncswey,ncsewy,cnswey
M,2,電資,3,1,1,2,1,0,0,1,2,resting,ewcsyn,ewcsny,ecwnsy,ewcsny
M,2,材料系,3,2,2,0,0,0,1,1,2,working,nscewy,nscewy,ncsewy,nscewy
F,2,資工,1,1,1,1,0,0,0,2,1,resting,csenwy,csenwy,cesnwy,csenwy
F,2,數學系,4,4,4,0,1,1,2,1,2,resting,cswnye,csnwey,csweny,csnwey
F,2,醫放系,3,1,2,0,0,0,0,1,2,wakingup,cnsewy,cneswy,cnsewy,cneswy
F,2,歷史系,4,3,1,3,1,0,0,1,2,commuting,nwcsye,nwcsey,ncwesy,nwcsey
F,4,中文,3,2,2,1,2,0,0,1,2,resting,wsceny,wsceny,wcseny,swceny
F,4,資料處理科,2,1,0,1,0,0,0,1,2,commuting,enscwy,encswy,enscwy,encswy
F,4,會計系,2,1,1,1,0,0,0,1,2,working,csnewy,csenwy,cnsewy,csenwy
M,2,資工系,3,1,1,2,0,0,0,1,2,commuting,cwnsey,cwnsey,cnwesy,cwnsey
F,2,清華大學 工業工程與工程管理學系,3,1,2,1,1,0,0,1,2,working,cnswey,cnswey,cnsewy,cnswey
F,2,資工,3,?,?,?,?,?,?,1,2,wakingup,ncsewy,nceswy,ncsewy,cneswy
F,2,醫環系,3,2,1,2,0,0,0,1,2,working,nwcsey,nwcsey,ncwesy,nwcsey
F,2,法律系,3,2,2,0,1,0,0,1,2,working,scewyn,scewny,scenwy,csewny
F,2,資訊工程系,3,2,2,4,1,0,0,1,3,commuting,ncswey,ncswey,ncsewy,cnswey
M,2,工學院學士班,2,2,1,0,0,0,0,1,2,commuting,cnwyse,cnwyes,cnwesy,cnwyes
F,2,醫放系,3,1,2,0,0,0,0,1,2,working,cnswey,cnswey,cnsewy,cnswey
F,3,資工系,2,0,1,2,0,0,0,1,2,working,wnycse,wncyes,wnyces,nwcyes
F,2,資工,1,1,1,1,0,0,0,2,1,commuting,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,4,3,3,3,1,1,1,2,1,resting,cesnyw,censwy,cesnwy,censwy
M,2,電機系,4,2,1,4,0,0,0,1,2,resting,ecswny,ecswny,ecsnwy,ceswny
F,2,電物,2,1,1,0,0,0,0,1,2,resting,csenwy,csenwy,cesnwy,csenwy
M,2,電機系,4,2,1,4,0,0,0,1,2,wakingup,ceswny,ceswny,cesnwy,ceswny
M,2,資工系,4,?,?,?,?,?,?,1,2,commuting,csnwey,csnwey,cnsewy,csnwey
F,2,資工系,4,4,4,4,0,0,0,1,2,commuting,csnwye,csnwey,cnsewy,csnwey
F,4,中文,2,2,1,0,0,0,0,1,2,commuting,scnwye,scnwey,scnewy,csnwey
M,2,醫環系,1,1,0,2,0,0,0,1,2,commuting,nscewy,nscewy,ncsewy,nscewy
M,2,資工系,4,2,2,2,0,0,0,1,2,commuting,csenyw,csenwy,cesnwy,csenwy
F,1,經濟系,3,2,2,1,1,1,0,3,2,working,scewyn,scewny,scenwy,csewny
M,2,資工,3,2,1,2,1,0,1,1,2,resting,swecny,swceny,sewcny,swceny
M,1,電機,2,1,1,1,0,0,0,1,2,commuting,nwcesy,nwcesy,ncwesy,nwcesy
F,2,資工系,3,2,1,0,0,0,0,1,2,commuting,csnywe,csnyew,cnsewy,csnyew
M,2,奈米學士班,0,0,2,3,4,2,1,3,2,working,ecsnyw,ecnswy,ecsnwy,censwy
F,2,衛教系,4,1,2,3,0,0,0,1,2,commuting,necswy,necswy,nceswy,encswy
M,2,材料,3,1,1,2,0,0,0,1,2,working,csnwey,csnwey,cnsewy,csnwey
F,2,資工系,4,3,2,3,0,0,0,1,2,resting,scenwy,scenwy,scenwy,csenwy
M,2,資工,3,2,1,2,1,0,1,1,2,working,cnswye,cnswey,cnsewy,cnswey
F,2,文資系,2,1,0,2,0,0,0,1,2,resting,ecswny,ecswny,ecsnwy,ceswny
F,2,教科系,3,2,0,0,0,0,1,2,1,wakingup,cnwsye,cnswey,cnwesy,cnswey
F,3,服科所,3,2,1,0,0,0,0,1,2,wakingup,ncwsey,ncswey,ncwesy,cnswey
F,4,工業管理科,2,0,0,0,0,0,0,1,2,working,enwscy,enswcy,enwcsy,enswcy
F,4,已畢業,2,0,1,0,1,0,0,1,2,resting,cwysne,cwsyen,cwyens,cwsyen
F,2,數學系,4,4,4,0,1,1,2,1,2,working,cswnye,csnwey,csweny,csnwey
F,4,會計系,2,1,1,1,0,0,0,1,2,commuting,csnewy,csenwy,cnsewy,csenwy
F,1,清大心諮系,2,1,1,0,0,0,0,1,2,wakingup,csnwey,csnwey,cnsewy,csnwey
F,2,統計系,3,2,0,2,0,0,0,1,2,commuting,cnywse,cnwyes,cnyesw,cnwyes
F,2,物理系,4,1,1,3,0,0,0,1,2,resting,cwseny,cwesny,csweny,cwesny
F,2,資工系,4,3,1,1,0,0,0,1,2,commuting,cwnsey,cwnsey,cnwesy,cwnsey
M,2,資工系,2,1,0,1,0,0,0,1,2,wakingup,csweny,csewny,csweny,csewny
M,2,資工系,4,2,2,2,0,0,0,1,2,resting,cswney,csnwey,csweny,csnwey
F,2,資工系,3,1,1,2,0,0,0,1,2,commuting,csenwy,csenwy,cesnwy,csenwy
F,2,資工,1,1,1,1,0,0,0,2,1,wakingup,csenyw,csenwy,cesnwy,csenwy
F,1,資工,4,3,3,3,0,0,0,1,2,commuting,scenwy,scenwy,scenwy,csenwy
F,4,電子資料處理,4,4,4,4,0,0,0,1,2,working,cnwsey,cnswey,cnwesy,cnswey
F,3,傳播所,3,2,2,0,0,0,0,1,2,wakingup,ncwyes,ncwyes,ncwesy,cnwyes
M,2,計財,2,0,0,2,0,0,0,1,3,commuting,scewyn,scewny,scenwy,csewny
F,2,工工系,3,0,1,2,0,0,0,1,2,working,ncswey,ncswey,ncsewy,cnswey
M,2,電機,4,2,2,1,0,0,0,1,2,wakingup,cwesny,cwesny,cewnsy,cwesny
M,2,資訊工程學系,2,2,2,1,0,0,0,1,3,resting,csewny,csewny,cesnwy,csewny
M,4,机械系,1,0,1,0,0,0,1,1,2,commuting,ncswye,ncswey,ncsewy,cnswey
M,2,化學,2,1,0,2,1,0,0,3,2,wakingup,nwcsye,nwcsey,ncwesy,nwcsey
M,2,資工系,4,3,3,1,1,0,0,1,2,working,csnwey,csnwey,cnsewy,csnwey
F,2,醫學系,4,3,2,3,0,0,0,1,2,commuting,csnewy,csenwy,cnsewy,csenwy
F,2,資工系,3,?,?,?,?,?,?,1,2,resting,nsecwy,nscewy,nescwy,nscewy
M,4,生命科學系,2,0,1,2,1,0,0,1,2,working,ncwyse,ncwyes,ncwesy,cnwyes
M,3,資工所,1,1,0,0,0,0,0,1,2,wakingup,csnwey,csnwey,cnsewy,csnwey
M,2,資工系,2,1,2,0,0,0,1,1,2,wakingup,nwcyse,nwcyes,ncwesy,nwcyes
M,2,電機,4,2,2,2,0,0,0,1,2,commuting,csnewy,csenwy,cnsewy,csenwy
M,2,資工系,4,3,3,1,1,0,0,1,2,resting,csenwy,csenwy,cesnwy,csenwy
M,2,不分系,2,1,2,1,1,0,1,2,1,working,secywn,secynw,scenwy,escynw
M,2,經濟,3,2,1,1,0,0,0,1,3,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,working,nwyecs,nweycs,nwyces,nweycs
M,2,材料系 ,2,0,1,1,0,0,0,1,2,commuting,ncwsey,ncswey,ncwesy,cnswey
M,2,資工系,2,1,0,1,0,0,0,1,2,working,csewny,csewny,cesnwy,csewny
M,2,資工系,3,1,1,1,0,0,0,1,2,working,nscwye,nscwey,ncsewy,nscwey
M,1,物理系,3,1,2,2,0,0,0,1,2,working,nyewsc,nyewcs,neycsw,nyewcs
F,2,工工系,3,0,1,2,0,0,0,1,2,commuting,ncwsey,ncswey,ncwesy,cnswey
F,2,資工系,4,3,0,4,0,0,0,1,2,resting,nscewy,nscewy,ncsewy,nscewy
F,4,工管,2,0,0,0,0,0,0,1,2,commuting,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,3,1,0,1,0,0,0,1,2,resting,csnewy,csenwy,cnsewy,csenwy
F,4,機械,1,1,0,0,1,0,0,1,2,commuting,scewyn,scewny,scenwy,csewny
F,2,財金,1,0,1,0,1,0,0,3,2,wakingup,wcysne,wcsyen,wcyens,cwsyen
M,3,材料所,3,1,1,2,0,0,0,1,2,resting,cwnsey,cwnsey,cnwesy,cwnsey
F,3,服科所,3,2,1,0,0,0,0,1,2,resting,csenwy,csenwy,cesnwy,csenwy
M,2,資訊工程系,2,2,1,1,0,0,0,1,2,resting,csewny,csewny,cesnwy,csewny
M,3,材料所,3,1,1,2,0,0,0,1,2,commuting,cwnsey,cwnsey,cnwesy,cwnsey
F,2,資工系,3,2,1,0,0,0,0,1,2,resting,csnywe,csnyew,cnsewy,csnyew
F,2,資工,2,1,1,0,0,0,0,1,2,resting,ecswny,ecswny,ecsnwy,ceswny
F,2,商學院 國貿系,4,2,2,0,0,0,0,1,2,resting,csewny,csewny,cesnwy,csewny
F,2,資工,3,1,0,3,0,0,0,1,2,commuting,csnwey,csnwey,cnsewy,csnwey
M,2,資工11,3,2,1,1,1,0,1,1,2,resting,cswney,csnwey,csweny,csnwey
M,2,資工,4,4,1,0,0,0,0,1,2,wakingup,cnwsye,cnswey,cnwesy,cnswey
M,2,資工,3,1,1,3,0,0,0,1,2,resting,escnwy,escnwy,ecsnwy,escnwy
F,1,心諮系,2,2,1,0,0,0,0,1,2,working,csnwey,csnwey,cnsewy,csnwey
F,2,工工系,3,0,1,2,0,0,0,1,2,wakingup,ncwsey,ncswey,ncwesy,cnswey
F,1,經濟系,3,2,2,1,1,1,0,3,2,commuting,csewyn,csewny,cesnwy,csewny
F,2,資工系,3,?,?,?,?,?,?,1,2,working,ncsywe,ncsyew,ncsewy,cnsyew
F,2,人社,3,2,1,1,0,0,0,1,2,resting,nscewy,nscewy,ncsewy,nscewy
M,3,社畜,4,1,0,2,0,0,1,1,2,resting,csweny,csewny,csweny,csewny
M,4,事業經營管理研究所,2,1,2,0,1,0,0,1,2,working,cnswye,cnswey,cnsewy,cnswey
M,2,經濟,3,2,1,1,0,0,0,1,3,resting,cwnyes,cwnyes,cnwesy,cwnyes
F,2,護理系,3,2,1,1,0,0,0,1,2,commuting,scnewy,scenwy,scnewy,csenwy
M,4,電機系,2,0,0,2,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工11,4,1,0,3,0,0,0,1,2,working,cesnyw,censwy,cesnwy,censwy
F,2,數學系,4,3,1,1,1,0,0,1,2,working,scwnye,scnwey,scweny,csnwey
F,1,資工,3,1,3,0,0,0,0,1,2,resting,ncsyew,ncsyew,ncsewy,cnsyew
F,4,台大中文系畢業,3,1,2,0,0,0,0,1,2,commuting,cnswey,cnswey,cnsewy,cnswey
F,4,工管,2,0,0,0,0,0,0,1,2,working,nwcsey,nwcsey,ncwesy,nwcsey
F,2,電物,2,1,1,0,0,0,0,1,2,commuting,scwney,scnwey,scweny,csnwey
F,2,資工系,3,3,2,1,0,0,0,1,2,commuting,cwnyse,cwnyes,cnwesy,cwnyes
M,3,生醫所,4,1,2,0,0,0,0,1,2,resting,csweyn,csewny,csweny,csewny
F,2,商學院 國貿系,4,2,2,0,0,0,0,1,2,working,cswney,csnwey,csweny,csnwey
M,2,化工系,2,1,1,1,1,0,0,3,2,wakingup,ywescn,ywescn,yewcns,wyescn
F,2,資工,1,1,1,1,0,0,0,2,1,working,ncseyw,nceswy,ncsewy,cneswy
F,2,醫放系,3,1,2,0,0,0,0,1,2,commuting,cnswey,cnswey,cnsewy,cnswey
M,2,數據所,4,2,2,0,0,0,0,1,2,working,scenwy,scenwy,scenwy,csenwy
M,3,資工所,1,1,0,0,0,0,0,1,2,commuting,wsncey,wscney,wnscey,swcney
F,2,資工系,1,?,?,?,?,?,?,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
M,2,資工系,3,1,1,1,0,0,0,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
F,1,電機,3,1,1,1,0,0,0,1,2,resting,scewyn,scewny,scenwy,csewny
M,2,資財系,4,3,2,0,0,0,0,1,2,commuting,csenwy,csenwy,cesnwy,csenwy
F,2,物理系,4,1,1,3,0,0,0,1,2,wakingup,cnswey,cnswey,cnsewy,cnswey
F,2,資工,3,1,0,3,0,0,0,1,2,working,csywen,cswyen,csyenw,cswyen
F,4,金融所,3,2,2,0,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工,4,4,1,0,0,0,0,1,2,resting,nscewy,nscewy,ncsewy,nscewy
F,2,資工,3,2,2,1,0,0,0,1,2,commuting,cwsyne,cwsyen,csweny,cwsyen
F,1,原科院學士班,1,1,1,1,0,0,0,1,2,wakingup,scewyn,scewny,scenwy,csewny
F,2,醫學系,3,2,2,0,0,0,0,3,2,working,cswney,csnwey,csweny,csnwey
M,2,人社學士班,3,2,1,1,0,0,0,1,2,wakingup,scnwey,scnwey,scnewy,csnwey
M,2,資訊工程學系,2,2,2,1,0,0,0,1,3,wakingup,cnsewy,cneswy,cnsewy,cneswy
M,3,資工系,3,1,1,2,1,0,0,1,2,wakingup,cnwsey,cnswey,cnwesy,cnswey
M,4,材料,4,3,3,2,2,0,0,2,1,wakingup,csnwey,csnwey,cnsewy,csnwey
F,1,經濟系,3,2,2,1,1,1,0,3,2,wakingup,ywesnc,ywescn,yewcns,wyescn
M,2,資工,3,1,0,2,1,0,0,1,2,working,cnsewy,cneswy,cnsewy,cneswy
M,2,資工系,3,1,1,2,0,0,0,1,2,wakingup,cwnsye,cwnsey,cnwesy,cwnsey
F,2,清華大學 工業工程與工程管理學系,3,1,2,1,1,0,0,1,2,wakingup,cnswey,cnswey,cnsewy,cnswey
F,2,人社,2,2,2,0,0,0,0,1,2,working,nscwey,nscwey,ncsewy,nscwey
F,2,電機工程學系,1,2,1,0,1,0,0,1,2,wakingup,csewyn,csewny,cesnwy,csewny
F,2,電機所,3,0,4,2,1,1,1,1,2,wakingup,cnwsye,cnswey,cnwesy,cnswey
F,2,文資系,2,1,0,2,0,0,0,1,2,resting,ecswny,ecswny,ecsnwy,ceswny
F,2,資工系,3,2,2,0,0,0,0,1,2,commuting,cwnsey,cwnsey,cnwesy,cwnsey
F,4,建國,4,1,0,2,0,0,0,1,2,working,scewyn,scewny,scenwy,csewny
M,3,衛教係,3,0,1,2,0,0,0,1,2,wakingup,scewyn,scewny,scenwy,csewny
F,2,機械系,4,2,2,4,1,0,0,1,2,commuting,ncswye,ncswey,ncsewy,cnswey
F,2,教育學院學士班,3,2,2,0,0,0,0,1,2,working,wcsney,wcnsey,wcseny,cwnsey
M,2,工工,3,1,1,1,0,0,0,1,2,commuting,csewyn,csewny,cesnwy,csewny
